txn_id,date,customer_id,customer_name,contact_email,tier,plan,amount,type,payment_method,region,notes
TXN-202608-0001,2026-08-01,CUST-1042,Acme Corp,billing@acmecorp.example,Enterprise,Enterprise Annual,15000,renewal,Wire,Midwest,Base enterprise renewal; expansion billed separately.
TXN-202608-0002,2026-08-12,CUST-1042,Acme Corp,billing@acmecorp.example,Enterprise,Enterprise Annual,18500,expansion,ACH,West,Expansion: 120-seat rollout after analytics pilot; signed Aug 12.
TXN-202608-0003,2026-08-25,CUST-1043,Globex,billing@globex.example,Enterprise,Enterprise Annual,12000,renewal,Corporate Card,Southeast,Base enterprise renewal; expansion billed separately.
TXN-202608-0004,2026-08-18,CUST-1043,Globex,billing@globex.example,Enterprise,Enterprise Annual,14200,expansion,ACH,Southeast,Expansion: two new operating regions; signed Aug 18.
TXN-202608-0005,2026-08-05,CUST-1044,Initech,billing@initech.example,Enterprise,Enterprise Annual,12800,new,Wire,Southwest,New enterprise contract: governance and forecasting package; signed Aug 5.
TXN-202608-0006,2026-08-10,CUST-1045,Northstar Logistics,billing@northstarlogistics.example,Enterprise,Enterprise Annual,5470,renewal,ACH,Southeast,
TXN-202608-0007,2026-08-05,CUST-1046,Blue Harbor Systems,billing@blueharborsystems.example,Enterprise,Enterprise Annual,5666,renewal,Corporate Card,Northeast,
TXN-202608-0008,2026-08-16,CUST-1047,Redwood Manufacturing,billing@redwoodmanufacturing.example,Enterprise,Enterprise Annual,3169,expansion,Wire,West,
TXN-202608-0009,2026-08-15,CUST-1048,Summit Health Partners,billing@summithealthpartners.example,Enterprise,Enterprise Annual,6299,renewal,ACH,West,
TXN-202608-0010,2026-08-28,CUST-1049,Cascade Retail Group,billing@cascaderetailgroup.example,Enterprise,Enterprise Annual,3503,renewal,ACH,Midwest,
TXN-202608-0011,2026-08-09,CUST-1050,Atlas Energy Services,billing@atlasenergyservices.example,Enterprise,Enterprise Annual,3685,renewal,ACH,Northeast,
TXN-202608-0012,2026-08-26,CUST-1051,Beacon Financial Labs,billing@beaconfinanciallabs.example,Enterprise,Enterprise Annual,5254,renewal,Corporate Card,West,
TXN-202608-0013,2026-08-25,CUST-1052,Cobalt Mobility,billing@cobaltmobility.example,Enterprise,Enterprise Annual,3453,renewal,ACH,Northeast,
TXN-202608-0014,2026-08-24,CUST-1053,Evergreen Foods,billing@evergreenfoods.example,Enterprise,Enterprise Annual,5251,renewal,Corporate Card,Northeast,
TXN-202608-0015,2026-08-02,CUST-1054,Granite Telecom,billing@granitetelecom.example,Enterprise,Enterprise Annual,3000,expansion,ACH,Midwest,
TXN-202608-0016,2026-08-06,CUST-1055,Horizon BioWorks,billing@horizonbioworks.example,Enterprise,Enterprise Annual,4473,renewal,ACH,Northeast,
TXN-202608-0017,2026-08-05,CUST-1056,Juniper Aerospace,billing@juniperaerospace.example,Enterprise,Enterprise Annual,4404,renewal,ACH,Southwest,
TXN-202608-0018,2026-08-28,CUST-1057,Keystone Insurance,billing@keystoneinsurance.example,Enterprise,Enterprise Annual,5435,renewal,ACH,Southwest,
TXN-202608-0019,2026-08-17,CUST-1058,Lakeview Media Group,billing@lakeviewmediagroup.example,Enterprise,Enterprise Annual,4539,renewal,Wire,West,
TXN-202608-0020,2026-08-15,CUST-1059,Meridian Construction,billing@meridianconstruction.example,Enterprise,Enterprise Annual,4788,renewal,Corporate Card,Southwest,
TXN-202608-0021,2026-08-25,CUST-1060,Nova Public Sector,billing@novapublicsector.example,Enterprise,Enterprise Annual,7169,renewal,ACH,Midwest,
TXN-202608-0022,2026-08-21,CUST-1061,Orchard Supply Network,billing@orchardsupplynetwork.example,Enterprise,Enterprise Annual,3477,renewal,ACH,Northeast,
TXN-202608-0023,2026-08-21,CUST-1062,Pioneer Clinical Research,billing@pioneerclinicalresearc.example,Enterprise,Enterprise Annual,5396,expansion,ACH,Midwest,
TXN-202608-0024,2026-08-28,CUST-1063,Quarry Industrial,billing@quarryindustrial.example,Enterprise,Enterprise Annual,3000,renewal,Wire,Midwest,
TXN-202608-0025,2026-08-10,CUST-1064,Riverbend Utilities,billing@riverbendutilities.example,Enterprise,Enterprise Annual,7084,renewal,ACH,West,
TXN-202608-0026,2026-08-20,CUST-1065,Silverline Hospitality,billing@silverlinehospitality.example,Enterprise,Enterprise Annual,3568,renewal,ACH,Northeast,
TXN-202608-0027,2026-08-21,CUST-1066,Timberline Robotics,billing@timberlinerobotics.example,Enterprise,Enterprise Annual,6634,renewal,Corporate Card,Northeast,
TXN-202608-0028,2026-08-06,CUST-1067,Union Square Commerce,billing@unionsquarecommerce.example,Enterprise,Enterprise Annual,5447,renewal,Wire,Southeast,
TXN-202608-0029,2026-08-16,CUST-1068,Vertex Fleet Services,billing@vertexfleetservices.example,Enterprise,Enterprise Annual,4439,renewal,Corporate Card,Southwest,
TXN-202608-0030,2026-08-21,CUST-1069,Westbridge Education,billing@westbridgeeducation.example,Enterprise,Enterprise Annual,3783,expansion,Corporate Card,West,
TXN-202608-0031,2026-08-10,CUST-1070,Yellowbrick Home Services,billing@yellowbrickhomeservice.example,Enterprise,Enterprise Annual,3840,renewal,ACH,Southeast,
TXN-202608-0032,2026-08-20,CUST-1071,Zenith Packaging,billing@zenithpackaging.example,Enterprise,Enterprise Annual,4257,renewal,ACH,Southwest,
TXN-202608-0033,2026-08-13,CUST-1072,Ironwood Security,billing@ironwoodsecurity.example,Enterprise,Enterprise Annual,6041,renewal,Corporate Card,Southwest,
TXN-202608-0034,2026-08-21,CUST-1073,Mariner Freight,billing@marinerfreight.example,Enterprise,Enterprise Annual,6561,new,ACH,Midwest,
TXN-202608-0035,2026-08-14,CUST-1074,Oakridge Pharmacy,billing@oakridgepharmacy.example,Enterprise,Enterprise Annual,6174,new,ACH,Midwest,
TXN-202608-0036,2026-08-02,CUST-1075,Prairie Data Exchange,billing@prairiedataexchange.example,Enterprise,Enterprise Annual,6006,new,Wire,Southeast,
TXN-202608-0037,2026-08-11,CUST-1076,Seaboard Renewables,billing@seaboardrenewables.example,Enterprise,Enterprise Annual,5739,new,Wire,Southeast,
TXN-202608-0038,2026-08-22,CUST-1077,Trident Medical Devices,billing@tridentmedicaldevices.example,Enterprise,Enterprise Annual,6096,new,ACH,Southeast,
TXN-202608-0039,2026-08-02,CUST-1078,UrbanGrid Properties,billing@urbangridproperties.example,Enterprise,Enterprise Annual,3718,new,ACH,Southwest,
TXN-202608-0040,2026-08-20,CUST-1079,Willow Creek Foods,billing@willowcreekfoods.example,Enterprise,Enterprise Annual,4682,new,Wire,Midwest,
TXN-202608-0041,2026-08-13,CUST-1080,Amber Consulting,billing@amberconsulting.example,SMB,Growth Monthly,2146,renewal,Corporate Card,West,
TXN-202608-0042,2026-08-25,CUST-1081,Amber Digital,billing@amberdigital.example,SMB,Growth Monthly,2242,renewal,ACH,Southeast,
TXN-202608-0043,2026-08-17,CUST-1082,Amber Foods,billing@amberfoods.example,SMB,Growth Monthly,1182,renewal,Corporate Card,Southeast,
TXN-202608-0044,2026-08-24,CUST-1083,Aspen Consulting,billing@aspenconsulting.example,SMB,Growth Monthly,2207,renewal,Corporate Card,West,
TXN-202608-0045,2026-08-21,CUST-1084,Aspen Digital,billing@aspendigital.example,SMB,Growth Monthly,1195,renewal,ACH,Southeast,
TXN-202608-0046,2026-08-09,CUST-1085,Aspen Foods,billing@aspenfoods.example,SMB,Growth Monthly,1640,renewal,Corporate Card,West,
TXN-202608-0047,2026-08-18,CUST-1086,Bayside Consulting,billing@baysideconsulting.example,SMB,Growth Monthly,2047,renewal,Corporate Card,Northeast,
TXN-202608-0048,2026-08-25,CUST-1087,Bayside Digital,billing@baysidedigital.example,SMB,Growth Monthly,1299,expansion,ACH,Southeast,
TXN-202608-0049,2026-08-05,CUST-1088,Bayside Foods,billing@baysidefoods.example,SMB,Growth Monthly,1270,renewal,ACH,Southwest,
TXN-202608-0050,2026-08-18,CUST-1089,Birch Consulting,billing@birchconsulting.example,SMB,Growth Monthly,1011,renewal,Corporate Card,Northeast,
TXN-202608-0051,2026-08-17,CUST-1090,Birch Digital,billing@birchdigital.example,SMB,Growth Monthly,2035,renewal,ACH,West,
TXN-202608-0052,2026-08-09,CUST-1091,Birch Foods,billing@birchfoods.example,SMB,Growth Monthly,1196,renewal,Corporate Card,West,
TXN-202608-0053,2026-08-01,CUST-1092,Brighton Consulting,billing@brightonconsulting.example,SMB,Growth Monthly,1558,renewal,ACH,Northeast,
TXN-202608-0054,2026-08-27,CUST-1093,Brighton Digital,billing@brightondigital.example,SMB,Growth Monthly,1375,renewal,ACH,Northeast,
